Formulation	DrugName	SubCat	SubCat1
Injection	Paracetamol	Antibiotic	H1 Blocker
Injection	Ibuprofen	Antihistamine	PPI
Syrup	Ibuprofen	Antihistamine	NSAID
Capsule	Ibuprofen	Painkiller	H1 Blocker
Ointment	Paracetamol	Antihistamine	Penicillin
Injection	Aspirin	Antihistamine	PPI
Injection	Cetrizine	Antibiotic	H1 Blocker
Syrup	Metformin	Painkiller	NSAID
Injection	Aspirin	Antipyretic	PPI
Capsule	Cetrizine	Antacid	Salicylate
Ointment	Cetrizine	Antipyretic	Salicylate
Injection	Omeprazole	Antipyretic	H1 Blocker
Injection	Omeprazole	Painkiller	PPI
Syrup	Metformin	Antihistamine	NSAID
Syrup	Metformin	Antipyretic	H1 Blocker
Capsule	Omeprazole	Antipyretic	H1 Blocker
Injection	Amoxicillin	Painkiller	Salicylate
Tablet	Ibuprofen	Antipyretic	H1 Blocker
Ointment	Cetrizine	Painkiller	H1 Blocker
Ointment	Metformin	Antipyretic	Penicillin
Injection	Omeprazole	Antacid	Penicillin
Injection	Cetrizine	Antibiotic	Salicylate
Tablet	Paracetamol	Antacid	Salicylate
Ointment	Metformin	Painkiller	PPI
Capsule	Amoxicillin	Antacid	PPI
Syrup	Amoxicillin	Antacid	H1 Blocker
Syrup	Cetrizine	Painkiller	Penicillin
Injection	Aspirin	Antihistamine	Salicylate
Tablet	Cetrizine	Painkiller	H1 Blocker
Ointment	Ibuprofen	Antacid	H1 Blocker
Syrup	Aspirin	Antibiotic	PPI
Tablet	Metformin	Antihistamine	Penicillin
Injection	Amoxicillin	Antibiotic	Penicillin
Capsule	Cetrizine	Antipyretic	Salicylate
Syrup	Cetrizine	Antibiotic	Salicylate
Ointment	Ibuprofen	Antihistamine	Salicylate
Ointment	Aspirin	Antihistamine	Penicillin
Ointment	Omeprazole	Antihistamine	Penicillin
Ointment	Paracetamol	Antibiotic	Salicylate
Tablet	Aspirin	Painkiller	PPI
Tablet	Metformin	Painkiller	Salicylate
Tablet	Metformin	Antihistamine	Penicillin
Capsule	Amoxicillin	Antacid	Salicylate
Capsule	Metformin	Antacid	PPI
Ointment	Paracetamol	Antibiotic	PPI
Tablet	Paracetamol	Painkiller	H1 Blocker
Injection	Omeprazole	Antihistamine	PPI
Syrup	Paracetamol	Antibiotic	H1 Blocker
Syrup	Paracetamol	Antacid	PPI
Syrup	Amoxicillin	Painkiller	H1 Blocker
Tablet	Omeprazole	Antibiotic	NSAID
Ointment	Amoxicillin	Antipyretic	H1 Blocker
Tablet	Amoxicillin	Antibiotic	Salicylate
Syrup	Ibuprofen	Antibiotic	Penicillin
Tablet	Omeprazole	Antihistamine	Salicylate
Injection	Paracetamol	Antacid	Penicillin
Tablet	Amoxicillin	Painkiller	Penicillin
Tablet	Paracetamol	Antihistamine	PPI
Ointment	Aspirin	Antipyretic	Salicylate
Capsule	Paracetamol	Antipyretic	NSAID
Syrup	Metformin	Antipyretic	Penicillin
Capsule	Aspirin	Antipyretic	NSAID
Ointment	Cetrizine	Antibiotic	Salicylate
Tablet	Cetrizine	Antacid	H1 Blocker
Syrup	Omeprazole	Antihistamine	NSAID
Syrup	Metformin	Antihistamine	Salicylate
Syrup	Ibuprofen	Antacid	Penicillin
Ointment	Ibuprofen	Antipyretic	PPI
Injection	Amoxicillin	Antipyretic	Penicillin
Syrup	Amoxicillin	Antihistamine	Salicylate
Capsule	Cetrizine	Painkiller	Salicylate
Ointment	Ibuprofen	Painkiller	PPI
Tablet	Amoxicillin	Antihistamine	H1 Blocker
Ointment	Paracetamol	Antacid	Penicillin
Injection	Cetrizine	Antihistamine	Penicillin
Capsule	Metformin	Painkiller	PPI
Tablet	Omeprazole	Antipyretic	NSAID
Capsule	Omeprazole	Antihistamine	Salicylate
Capsule	Ibuprofen	Antipyretic	PPI
Syrup	Paracetamol	Antipyretic	H1 Blocker
Injection	Paracetamol	Antipyretic	Salicylate
Capsule	Omeprazole	Painkiller	NSAID
Capsule	Ibuprofen	Painkiller	NSAID
Capsule	Amoxicillin	Antacid	H1 Blocker
Syrup	Omeprazole	Antihistamine	H1 Blocker
Ointment	Aspirin	Antacid	Penicillin
Capsule	Omeprazole	Antibiotic	H1 Blocker
Capsule	Aspirin	Antihistamine	Salicylate
Ointment	Aspirin	Antihistamine	H1 Blocker
Tablet	Paracetamol	Painkiller	PPI
Syrup	Metformin	Antipyretic	Salicylate
Syrup	Ibuprofen	Painkiller	Salicylate
Ointment	Cetrizine	Antibiotic	PPI
Injection	Amoxicillin	Painkiller	H1 Blocker
Syrup	Aspirin	Antihistamine	Penicillin
Syrup	Omeprazole	Antihistamine	NSAID
Capsule	Ibuprofen	Antibiotic	Penicillin
Capsule	Amoxicillin	Antipyretic	PPI
Tablet	Aspirin	Antihistamine	H1 Blocker
Ointment	Ibuprofen	Antibiotic	Salicylate
Injection	Metformin	Antipyretic	Penicillin
Injection	Ibuprofen	Antipyretic	PPI
Injection	Cetrizine	Antibiotic	NSAID
Capsule	Paracetamol	Antihistamine	NSAID
Capsule	Aspirin	Antipyretic	Penicillin
Ointment	Cetrizine	Antipyretic	Penicillin
Syrup	Omeprazole	Antihistamine	PPI
Tablet	Aspirin	Antihistamine	Salicylate
Syrup	Metformin	Antipyretic	NSAID
Ointment	Omeprazole	Antipyretic	H1 Blocker
Ointment	Amoxicillin	Antibiotic	Salicylate
Ointment	Omeprazole	Antacid	H1 Blocker
Tablet	Ibuprofen	Antacid	Salicylate
Injection	Aspirin	Antihistamine	Penicillin
Tablet	Aspirin	Antihistamine	Salicylate
Injection	Ibuprofen	Antacid	Salicylate
Ointment	Aspirin	Antihistamine	H1 Blocker
Tablet	Aspirin	Painkiller	Salicylate
Injection	Aspirin	Antihistamine	PPI
Syrup	Paracetamol	Antacid	PPI
Syrup	Aspirin	Antibiotic	Salicylate
Tablet	Paracetamol	Antibiotic	Salicylate
